"from","to"
"33","56"
"35","33"
"35","54"
"35","55"
"35","56"
"53","35"
"53","54"
"53","60"
"53","61"
"53","62"
"54","35"
"54","53"
"54","60"
"54","159"
"55","35"
"55","53"
"55","54"
"55","91"
"55","92"
"56","33"
"60","53"
"60","54"
"60","159"
"61","35"
"61","53"
"61","159"
"61","162"
"61","163"
"62","35"
"62","53"
"62","54"
"62","60"
"62","159"
"91","35"
"91","55"
"91","92"
"91","295"
"91","296"
"92","35"
"92","55"
"92","91"
"92","295"
"92","296"
"159","35"
"159","54"
"159","60"
"162","35"
"162","53"
"162","61"
"162","163"
"162","616"
"163","53"
"163","54"
"163","60"
"163","61"
"163","162"
"295","35"
"295","54"
"295","91"
"295","92"
"295","296"
"296","35"
"296","91"
"296","92"
"296","295"
"296","506"
"322","78"
"322","1141"
"506","35"
"506","53"
"506","54"
"506","60"
"506","163"
"616","35"
"616","53"
"616","61"
"616","162"
"1141","76"
"1141","78"
"2231","4115"
"2231","4116"
"2231","4117"
"2625","35"
"3829","35"
"3829","61"
"3829","162"
"3829","2625"
"3831","35"
"3831","53"
"3831","163"
"4115","2231"
"4115","4117"
"4115","5067"
"4115","11638"
"4116","2231"
"4116","4121"
"4117","2231"
"4117","4115"
"4117","5067"
"5067","2231"
"5067","4115"
"5067","4117"
"5134","35"
"5134","61"
"5134","2625"
"5134","5191"
"5191","35"
"5191","162"
"5191","5577"
"5577","35"
"5577","2625"
"5577","5191"
"7183","2231"
"7183","4697"
"7183","16259"
"7492","35"
"7492","53"
"7492","54"
"7492","9432"
"8181","35"
"9217","1141"
"9432","35"
"9432","53"
"9432","54"
"9432","11881"
"9793","35"
"9793","162"
"9793","5191"
"11638","7183"
"11638","12417"
"11638","12419"
"11767","18057"
"11767","18058"
"11767","18059"
"11881","35"
"11881","53"
"11881","54"
"11881","60"
"11923","35"
"12119","35"
"12119","53"
"12119","24614"
"12120","35"
"12120","53"
"12120","54"
"12120","12368"
"12368","35"
"12368","53"
"12368","54"
"12368","12120"
"12368","25797"
"12417","11638"
"12417","12419"
"12417","16259"
"12419","11638"
"12419","12417"
"12419","16259"
"12419","20038"
"14690","31851"
"14879","17033"
"14879","17034"
"14879","17035"
"14879","17036"
"15749","17034"
"15749","17036"
"16259","2231"
"16259","12417"
"16259","12419"
"16259","20038"
"16259","26743"
"17033","14879"
"17033","15749"
"17033","17034"
"17033","17035"
"17033","17036"
"17034","14879"
"17034","17033"
"17034","17036"
"17036","14879"
"17036","15749"
"17036","17033"
"17036","17034"
"17036","17035"
"18057","11767"
"18057","18058"
"18058","5333"
"18058","11767"
"18059","11767"
"18059","20662"
"18059","20663"
"18059","20664"
"18578","30106"
"20038","12419"
"20038","16259"
"20038","26743"
"20038","33041"
"20311","1141"
"20662","17033"
"20662","18058"
"20662","18059"
"20662","20663"
"20662","20664"
"20663","1758"
"20663","18059"
"20663","20662"
"20663","20664"
"20664","1140"
"20664","18059"
"20664","20662"
"20664","20663"
"21137","31512"
"21137","31513"
"21149","21150"
"21150","21149"
"21610","35"
"21610","53"
"21610","54"
"21610","55"
"21610","30583"
"23894","42320"
"24614","35"
"24614","12119"
"25722","35"
"25722","162"
"25797","35"
"25797","53"
"25797","12368"
"25797","33514"
"26743","12417"
"26743","16259"
"26743","20038"
"26743","33041"
"30106","18578"
"30583","35"
"30583","21610"
"31512","31513"
"31513","18578"
"31513","21137"
"31513","30106"
"31513","42059"
"31851","14690"
"31851","39786"
"31851","39787"
"33041","12419"
"33041","16259"
"33041","20038"
"33041","26743"
"33514","35"
"33514","295"
"33514","25797"
"36331","35"
"36331","60"
"39786","14690"
"39786","31851"
"39786","52321"
"39786","52322"
"39787","31851"
"39787","52321"
"39787","52322"
"40052","76006"
"42059","302"
"42059","1984"
"42059","26158"
"42059","31513"
"42059","53885"
"42320","23894"
"42320","42975"
"42320","107102"
"42320","107103"
"42975","50064"
"43632","1141"
"44047","79585"
"44047","79587"
"50011","302"
"50011","21137"
"50011","31513"
"50064","42975"
"50064","62424"
"50064","101998"
"50064","115489"
"50150","7183"
"50150","12417"
"50150","53230"
"53230","11638"
"53230","12417"
"53230","12419"
"53230","16259"
"53230","50150"
"53885","1141"
"53885","31513"
"53885","42059"
"54546","31513"
"56385","35"
"56385","54"
"56385","60"
"57404","35"
"59413","63015"
"59413","63017"
"59443","1141"
"60909","35"
"60909","53"
"60909","5191"
"60909","9793"
"62424","50064"
"62424","81919"
"62424","81921"
"63015","59413"
"63015","68560"
"63017","59413"
"63017","68560"
"66425","50064"
"66425","74807"
"66557","76006"
"66557","76009"
"66557","76010"
"68560","59413"
"68560","63015"
"68560","63017"
"68560","98755"
"68560","98756"
"70913","50064"
"70913","95690"
"71368","86854"
"71368","116333"
"73576","73578"
"73578","73576"
"74807","66425"
"75284","75285"
"75284","89000"
"75285","75284"
"75285","89000"
"75286","75285"
"76006","45584"
"76006","66557"
"76006","124534"
"76009","66557"
"76009","76006"
"76010","66557"
"76010","76006"
"76010","76009"
"76161","31513"
"76931","109946"
"76931","124328"
"78813","35"
"79585","4121"
"79585","11638"
"79585","44047"
"79585","79587"
"79587","44047"
"79797","1141"
"80081","50064"
"81511","35"
"81511","53"
"81511","162"
"81511","12119"
"81919","50064"
"81919","62424"
"81919","92420"
"81919","92421"
"81921","50064"
"81921","86286"
"81921","86501"
"85058","66425"
"85058","86286"
"86286","21149"
"86286","62424"
"86286","81921"
"86501","81921"
"86501","125988"
"86854","71368"
"89000","75284"
"89000","75285"
"92420","93759"
"92420","93760"
"92421","66425"
"92421","81919"
"93759","50064"
"93759","81919"
"93759","101998"
"93760","92420"
"95690","50064"
"95690","70913"
"96989","119135"
"98755","76931"
"98755","124328"
"98756","125586"
"98756","125587"
"107102","42320"
"107102","42975"
"107103","42320"
"107103","50064"
"107103","62424"
"107103","107102"
"109946","76931"
"109946","124328"
"109946","138541"
"115489","50064"
"115489","62424"
"115489","101998"
"115489","127768"
"116333","71368"
"116333","123768"
"116333","133753"
"117215","59413"
"117215","68560"
"117251","81921"
"117251","129922"
"119135","31037"
"119135","62424"
"119135","71368"
"119135","121303"
"119135","162403"
"122571","62424"
"122571","81919"
"123297","50064"
"123764","123768"
"123768","62424"
"123768","116333"
"123768","136644"
"123768","136645"
"124328","76931"
"124328","109946"
"124534","76006"
"124534","128917"
"124534","128918"
"125586","98756"
"125586","125587"
"125586","131553"
"125586","133246"
"125586","133247"
"125587","98756"
"125587","109946"
"125587","132645"
"125587","146853"
"125587","169433"
"125988","81921"
"125988","86501"
"126476","75285"
"127768","50064"
"127768","62424"
"127768","115489"
"127768","144048"
"128917","76006"
"128917","124534"
"128917","133138"
"128918","124534"
"128918","128917"
"128918","162283"
"129922","81921"
"129923","81921"
"129985","50064"
"129985","92421"
"131553","125586"
"131553","125587"
"132645","125587"
"133138","124534"
"133138","128917"
"133138","156547"
"133246","125586"
"133753","116333"
"133753","123768"
"133754","74807"
"133754","157657"
"136644","123768"
"136644","136645"
"136645","123768"
"138541","76931"
"138541","109946"
"138586","66425"
"141762","186318"
"142031","4115"
"144048","50064"
"144048","92420"
"144048","127768"
"146853","125587"
"146853","169433"
"147608","62424"
"149292","86286"
"149292","86854"
"152215","157657"
"152315","62424"
"152315","123768"
"152315","155697"
"152315","155698"
"154855","73578"
"155697","62424"
"155697","93760"
"155697","152315"
"155697","184996"
"155698","81921"
"155698","152315"
"156547","76006"
"156547","124534"
"156547","128917"
"156784","35"
"156784","5191"
"157125","196714"
"157657","62424"
"157657","66425"
"157657","74807"
"157657","133754"
"162283","76006"
"162283","124534"
"162283","128918"
"162283","156547"
"162403","62424"
"167334","174943"
"168900","81921"
"168900","86286"
"169015","199071"
"169266","183792"
"169433","125587"
"169433","146853"
"170007","98756"
"170421","35"
"174943","62424"
"174943","167334"
"177760","42059"
"183792","75285"
"183792","89000"
"184290","71368"
"184290","215690"
"186057","81921"
"186057","92420"
"186318","50064"
"186318","62424"
"186318","141762"
"186318","198612"
"189174","50064"
"189174","95690"
"196714","62424"
"196714","83976"
"196714","138586"
"196714","157125"
"196714","162403"
"198612","186318"
"198612","207172"
"199071","21149"
"199071","21150"
"199071","23894"
"199071","62424"
"199071","92420"
"202924","7183"
"202924","142031"
"202924","217891"
"202925","4116"
"202925","11638"
"202925","219762"
"204484","81919"
"207172","50064"
"207172","162403"
"207172","186318"
"207172","198612"
"209149","62424"
"215690","50064"
"215690","62424"
"215690","71368"
"215690","86854"
"217891","227601"
"219762","202925"
"221347","183792"
"227601","2231"
"227601","11638"
"227601","217891"
"227601","235514"
"227601","235515"
"228670","81921"
"228670","92420"
"228670","93759"
"230785","242189"
"235514","2231"
"235514","217891"
"235514","227601"
"235514","235515"
"235515","2231"
"235515","227601"
"235515","235514"
"235762","35"
"236886","35"
"236886","55"
"242189","98756"
"242189","169433"
"242189","230785"
"242189","250716"
"242813","35"
"244029","50064"
"248984","81921"
"249586","44047"
"249586","227601"
"250716","242189"
"251661","256166"
"256166","76931"
"256166","98756"
"256166","109946"
"256166","124328"
"256166","138541"
"257301","7183"
